index,carat,depth,table,x,y,z,price,cutne,colorne,clarityne
10270,0.33,62.2,54.0,4.43,4.45,2.76,646,2,5,6
10271,1.16,61.6,55.0,6.78,6.8,4.18,5078,2,3,3
10272,0.51,61.3,55.0,5.18,5.19,3.18,991,2,5,3
10273,0.51,61.6,54.0,5.17,5.19,3.19,2162,2,3,1
10274,0.37,60.4,58.0,4.61,4.66,2.8,876,3,1,4
10275,1.54,60.9,59.0,7.56,7.46,4.57,11897,3,2,2
10276,0.57,61.4,57.0,5.37,5.32,3.28,2068,2,1,4
10277,0.53,60.9,57.0,5.17,5.24,3.17,1783,2,0,5
10278,0.7,64.9,59.0,5.56,5.59,3.62,3039,0,2,4
10279,0.9,63.0,58.0,6.16,6.12,3.87,2761,3,5,5
10280,0.9,62.6,59.0,6.07,6.16,3.83,5502,4,4,5
10281,1.54,61.8,58.0,7.43,7.39,4.58,13120,3,3,5
10282,1.24,61.6,57.0,6.92,6.84,4.24,6958,2,4,2
10283,0.75,62.1,55.0,5.83,5.87,3.63,2586,2,2,3
10284,0.34,60.4,58.0,4.53,4.51,2.73,956,3,2,4
10285,0.3,61.3,56.0,4.34,4.37,2.67,691,4,3,6
10286,0.71,62.3,58.0,5.68,5.72,3.55,2052,4,5,5
10287,1.2,62.8,59.0,6.72,6.65,4.2,10053,3,3,7
10288,0.53,62.6,56.0,5.28,5.1,3.25,1077,2,4,2
10289,0.7,60.8,59.0,5.71,5.74,3.48,2330,3,4,5
10290,0.32,62.0,60.0,4.37,4.41,2.72,954,3,3,1
10291,0.92,63.6,57.0,6.14,6.09,3.89,4086,1,0,2
10292,1.59,58.8,59.0,7.69,7.61,4.5,9705,3,1,2
10293,0.26,60.7,56.0,4.13,4.17,2.52,597,2,1,7
10294,0.3,61.8,56.0,4.33,4.35,2.68,789,2,1,7
10295,1.5,63.3,59.0,7.15,7.1,4.51,9173,4,4,4
10296,1.09,63.6,56.0,6.56,6.53,4.16,5010,1,4,2
10297,0.31,60.1,61.0,4.35,4.4,2.63,544,4,1,2
10298,1.2,61.8,60.0,6.78,6.85,4.21,4443,4,3,3
10299,0.73,63.0,60.0,5.68,5.72,3.59,3607,4,1,4
10300,0.71,61.6,57.0,5.72,5.75,3.53,1889,2,6,2
10301,0.9,58.2,59.0,6.36,6.33,3.69,4685,1,4,5
10302,1.63,61.7,57.0,7.5,7.54,4.64,10357,2,1,3
10303,1.5,62.4,60.0,7.37,7.19,4.54,3780,3,0,0
10304,1.12,62.2,55.0,6.64,6.68,4.14,10949,2,2,7
10305,1.29,60.8,55.0,7.03,7.12,4.3,17932,4,0,6
10306,0.34,60.3,54.0,4.53,4.56,2.74,596,4,3,5
10307,1.11,60.2,59.0,6.67,6.79,4.05,11330,4,1,6
10308,1.66,61.5,57.0,7.62,7.59,4.68,14859,2,4,1
10309,0.7,61.2,55.0,5.68,5.72,3.49,2453,4,4,4
10310,1.6,62.4,56.0,7.52,7.48,4.68,9901,2,5,2
10311,1.02,61.5,59.0,6.4,6.45,3.95,5250,3,3,5
10312,0.31,61.1,56.0,4.37,4.4,2.68,975,2,2,6
10313,0.3,62.1,60.0,4.28,4.26,2.65,641,3,2,2
10314,1.2,60.8,58.0,6.8,6.85,4.15,6077,4,4,2
10315,1.04,62.7,57.0,6.42,6.46,4.04,5577,2,4,4
10316,1.26,60.8,55.0,7.02,7.04,4.28,9399,2,3,5
10317,0.51,61.3,58.0,5.13,5.15,3.15,1656,3,1,5
10318,1.21,63.0,57.0,6.73,6.77,4.25,4691,4,6,5
10319,0.51,62.4,55.0,5.08,5.12,3.18,2317,2,1,6
10320,1.47,61.5,58.0,7.31,7.29,4.49,7203,3,6,5
10321,2.16,58.7,60.0,8.54,8.5,5.0,18481,3,5,5
10322,0.53,60.4,57.0,5.27,5.23,3.17,1607,2,3,5
10323,0.7,63.0,60.0,5.64,5.57,3.53,2838,3,3,4
10324,0.3,62.2,57.0,4.26,4.32,2.67,622,2,1,5
10325,0.78,61.8,59.0,5.85,5.9,3.63,2252,4,4,3
10326,0.61,61.9,56.0,5.41,5.45,3.36,2048,2,5,6
10327,0.32,62.0,58.5,4.36,4.41,2.72,540,4,3,2
10328,0.57,61.7,54.8,5.34,5.37,3.3,1605,4,4,5
10329,0.7,57.7,60.0,5.85,5.9,3.39,2048,4,4,2
10330,0.4,61.9,59.0,4.67,4.7,2.9,982,3,2,4
10331,0.39,58.8,59.0,4.83,4.8,2.83,1053,3,2,5
10332,0.33,60.3,55.0,4.5,4.52,2.72,667,2,0,5
10333,0.26,62.3,56.0,4.07,4.1,2.54,545,2,3,7
10334,0.32,62.6,58.0,4.35,4.37,2.73,730,4,3,7
10335,0.56,61.8,55.0,5.28,5.37,3.29,1712,2,3,4
10336,0.81,59.5,60.0,6.05,6.09,3.61,2973,4,1,2
10337,0.73,61.7,55.0,5.84,5.82,3.6,2821,3,0,2
10338,1.0,62.9,57.0,6.37,6.32,3.99,4586,3,2,2
10339,0.5,65.2,57.0,4.96,4.91,3.22,1141,0,1,3
10340,0.53,62.0,55.0,5.21,5.17,3.22,1607,2,1,2
10341,1.34,63.0,57.0,6.9,7.01,4.38,6237,4,6,4
10342,0.41,62.9,54.0,4.74,4.7,2.97,1192,2,2,7
10343,0.35,60.2,57.0,4.6,4.64,2.78,959,2,3,1
10344,0.25,59.8,59.0,4.09,4.07,2.44,577,3,4,6
10345,1.2,64.9,59.0,6.61,6.54,4.27,3011,0,6,0
10346,0.51,61.4,56.0,5.15,5.17,3.17,1377,2,1,2
10347,1.2,63.3,55.0,6.73,6.77,4.27,5544,1,1,3
10348,1.15,60.2,58.0,6.86,6.8,4.11,5191,3,4,5
10349,0.5,63.4,58.0,5.06,5.04,3.2,1629,4,1,5
10350,1.6,61.9,54.0,7.56,7.5,4.66,11437,2,1,2
10351,1.02,62.7,54.0,6.5,6.42,4.05,6597,2,2,5
10352,1.5,59.5,58.0,7.44,7.48,4.44,14592,4,1,5
10353,1.21,59.6,60.0,6.92,6.94,4.13,5556,4,3,3
10354,0.34,62.5,55.0,4.46,4.5,2.8,745,2,1,5
10355,0.42,61.6,55.0,4.84,4.87,2.99,1228,2,2,4
10356,1.04,59.6,62.0,6.56,6.62,3.93,6166,4,2,5
10357,0.9,62.0,59.0,6.2,6.1,3.81,3977,4,2,3
10358,0.39,61.7,57.0,4.77,4.7,2.92,684,4,3,2
10359,0.31,59.6,59.0,4.4,4.42,2.63,642,4,3,6
10360,0.31,62.1,54.0,4.38,4.41,2.73,687,2,3,7
10361,0.5,59.6,60.0,5.15,5.18,3.08,959,1,6,2
10362,1.19,62.6,58.0,6.7,6.75,4.21,4660,3,5,3
10363,0.41,61.8,56.0,4.77,4.81,2.96,827,2,4,4
10364,0.31,63.0,58.0,4.32,4.29,2.71,628,3,5,4
10365,0.41,61.7,55.0,4.81,4.85,2.98,1199,2,3,7
10366,0.51,63.3,55.0,5.12,5.09,3.23,1638,4,1,5
10367,0.66,61.9,59.0,5.59,5.65,3.48,2323,4,4,6
10368,2.02,62.9,59.0,8.03,7.93,5.02,15808,3,5,5
10369,1.54,60.2,59.0,7.47,7.52,4.51,13508,2,3,5
10370,0.26,62.5,53.0,4.1,4.13,2.57,508,2,3,4
10371,2.28,59.3,58.0,8.6,8.56,5.09,13919,3,4,2
10372,0.71,60.1,62.0,5.74,5.77,3.46,2765,4,2,4
10373,0.32,61.5,59.7,4.32,4.39,2.68,624,4,2,5
10374,1.21,69.6,55.0,6.49,6.42,4.49,3862,0,4,2
10375,0.5,63.2,57.0,5.06,5.03,3.19,1415,4,1,2
10376,0.9,60.6,59.0,6.27,6.21,3.78,3951,3,2,3
10377,1.01,62.5,58.0,6.44,6.4,4.01,6606,3,1,5
10378,2.03,62.2,57.0,8.09,8.06,5.03,12573,2,3,3
10379,0.72,61.1,56.0,5.79,5.76,3.53,3294,2,2,4
10380,0.78,61.7,58.0,5.9,5.93,3.65,3334,4,1,5
10381,0.77,61.4,58.0,5.94,5.89,3.63,2846,3,3,4
10382,0.53,61.7,56.0,5.23,5.24,3.23,1142,2,2,3
10383,0.84,63.8,57.0,5.95,6.0,3.81,2885,4,2,2
10384,1.31,59.4,60.0,7.06,7.12,4.21,5446,3,6,2
10385,1.53,61.2,56.0,7.48,7.45,4.57,13714,2,0,2
10386,0.57,62.6,55.0,5.31,5.26,3.31,1728,3,3,5
10387,1.0,62.5,55.0,6.28,6.39,3.96,11214,4,1,1
10388,0.51,63.0,53.0,5.13,5.1,3.22,1312,2,3,2
10389,2.0,58.8,65.0,8.03,8.1,4.74,15708,1,5,4
10390,1.5,63.8,58.0,7.21,7.12,4.57,13720,1,3,4
10391,0.3,63.2,55.0,4.26,4.29,2.7,417,1,3,2
10392,1.02,60.5,63.0,6.48,6.54,3.94,4813,4,1,2
10393,0.56,62.2,55.0,5.31,5.27,3.29,1915,2,3,4
10394,0.92,61.9,56.0,6.27,6.2,3.86,2840,2,0,3
10395,0.32,61.9,56.0,4.36,4.39,2.71,1067,2,0,6
10396,0.4,61.4,57.0,4.68,4.74,2.89,666,4,1,3
10397,1.51,61.9,63.0,7.35,7.26,4.52,13945,4,2,5
10398,0.5,62.8,60.0,5.08,5.02,3.17,1676,3,1,5
10399,0.3,62.2,57.0,4.27,4.25,2.65,506,2,5,2
10400,0.43,63.4,57.0,4.8,4.76,3.03,1008,4,2,4
10401,0.31,62.4,56.0,4.32,4.35,2.7,749,4,1,7
10402,1.37,59.4,61.0,7.29,7.25,4.32,7319,3,6,7
10403,1.13,59.8,59.0,6.75,6.82,4.06,4537,4,4,3
10404,1.09,60.9,58.0,6.63,6.67,4.05,8057,3,2,4
10405,0.36,62.5,54.0,4.54,4.58,2.85,1056,2,2,1
10406,1.04,60.9,56.0,6.61,6.56,4.01,5795,2,2,2
10407,0.31,62.3,55.0,4.37,4.33,2.71,942,2,0,5
10408,0.73,61.3,58.0,5.83,5.76,3.55,2821,3,1,2
10409,1.5,63.3,62.0,7.08,7.19,4.52,8555,1,5,5
10410,0.4,60.0,57.0,4.83,4.74,2.87,1035,3,3,4
10411,0.33,62.1,55.0,4.43,4.46,2.76,1289,2,1,1
10412,0.56,61.6,56.0,5.29,5.31,3.27,2010,4,3,7
10413,0.5,61.6,56.0,5.1,5.13,3.15,1554,2,1,5
10414,0.73,61.2,56.0,5.81,5.85,3.57,2482,2,6,7
10415,1.01,61.6,58.0,6.4,6.45,3.96,5919,4,3,5
10416,0.34,62.9,58.0,4.44,4.46,2.8,686,4,2,5
10417,1.02,59.8,61.0,6.54,6.61,3.93,6785,4,0,5
10418,0.3,62.0,57.0,4.29,4.32,2.67,684,2,3,7
10419,0.51,61.6,55.0,5.15,5.2,3.19,1985,2,1,5
10420,0.51,61.8,58.0,5.11,5.08,3.15,1265,3,1,3
10421,1.0,59.8,57.0,6.44,6.5,3.87,4125,2,5,2
10422,1.09,61.7,60.0,6.57,6.59,4.06,4496,3,4,3
10423,1.51,61.2,58.0,7.35,7.4,4.51,8752,2,5,2
10424,1.78,60.9,56.0,7.85,7.88,4.79,18128,2,2,5
10425,1.0,60.6,57.0,6.54,6.47,3.94,7235,3,4,1
10426,0.75,63.0,58.0,5.81,5.77,3.62,2250,3,3,3
10427,1.58,63.1,58.0,7.33,7.38,4.64,9774,1,4,2
10428,1.01,62.2,54.0,6.41,6.47,4.01,4443,2,6,5
10429,0.7,62.8,56.0,5.7,5.67,3.57,2573,2,2,5
10430,2.0,60.9,58.0,8.07,8.15,4.94,16280,4,4,2
10431,0.41,61.7,59.0,4.73,4.71,2.91,923,3,3,2
10432,1.04,59.2,58.0,6.68,6.66,3.95,8722,3,2,7
10433,0.75,61.3,59.0,5.88,5.83,3.59,1858,3,0,3
10434,0.9,59.0,58.0,6.33,6.29,3.72,4687,3,2,4
10435,0.31,63.1,58.0,4.31,4.34,2.73,489,1,4,5
10436,0.31,61.5,56.0,4.34,4.37,2.68,680,2,1,5
10437,1.22,62.6,58.0,6.78,6.8,4.25,7262,3,1,2
10438,1.12,58.6,58.0,6.85,6.81,4.0,4422,3,6,5
10439,0.33,62.4,56.0,4.43,4.41,2.76,1067,2,2,7
10440,0.7,61.6,54.0,5.75,5.72,3.53,2839,2,2,4
10441,0.78,62.2,57.0,5.86,5.9,3.66,4350,2,0,4
10442,0.74,59.2,59.0,5.92,5.97,3.52,2501,2,1,3
10443,0.3,61.0,56.0,4.34,4.38,2.66,813,2,1,6
10444,0.94,63.8,60.0,6.21,6.14,3.94,3079,1,5,3
10445,1.4,62.0,58.0,7.22,7.16,4.46,8467,3,5,7
10446,1.1,58.8,61.0,6.73,6.67,3.94,5606,3,0,2
10447,0.57,61.7,59.0,5.34,5.31,3.29,1176,3,2,3
10448,0.32,61.5,57.0,4.41,4.4,2.71,1080,2,1,7
10449,1.02,59.7,58.0,6.53,6.57,3.91,4303,4,4,3
10450,1.0,66.1,59.0,6.18,6.13,4.07,3472,0,4,3
10451,0.33,61.8,55.0,4.44,4.46,2.75,1141,2,2,6
10452,0.32,59.8,59.0,4.52,4.48,2.69,720,3,3,5
10453,0.91,56.5,67.0,6.38,6.4,3.61,4115,0,4,6
10454,1.57,61.5,56.0,7.56,7.49,4.63,10093,2,5,5
10455,1.06,61.6,56.3,6.53,6.56,4.03,7934,2,3,7
10456,0.92,61.5,56.0,6.27,6.32,3.87,3763,2,2,3
10457,0.31,61.0,59.0,4.35,4.37,2.66,680,3,1,5
10458,0.35,61.6,58.0,4.54,4.49,2.78,566,3,4,3
10459,1.6,61.2,58.6,7.48,7.63,4.62,12378,4,4,4
10460,0.51,59.8,55.0,5.17,5.23,3.11,1264,2,0,3
10461,0.5,62.6,56.0,5.1,5.06,3.18,1286,3,3,2
10462,1.5,60.9,59.0,7.37,7.43,4.51,10023,4,4,5
10463,1.0,62.6,61.0,6.29,6.32,3.95,4989,1,1,2
10464,1.01,57.9,57.0,6.51,6.55,3.78,3916,0,1,3
10465,0.42,61.4,57.0,4.78,4.83,2.95,1031,2,2,4
10466,0.33,61.5,57.0,4.47,4.44,2.74,1052,2,1,6
10467,0.26,62.1,54.0,4.09,4.12,2.55,456,2,2,5
10468,0.71,61.5,56.0,5.74,5.69,3.52,3504,2,3,7
10469,0.8,61.6,54.0,5.95,5.99,3.68,3953,2,2,4
10470,0.34,61.2,59.0,4.47,4.52,2.75,686,3,2,5
10471,1.01,61.9,56.0,6.43,6.46,3.99,4832,2,1,3
10472,0.51,61.3,63.0,5.11,5.16,3.15,1841,1,1,4
10473,0.26,61.8,55.0,4.13,4.09,2.54,580,2,1,4
10474,1.25,60.0,56.0,7.04,6.99,4.21,6944,2,4,5
10475,0.7,61.8,57.0,5.67,5.75,3.53,3011,2,2,5
10476,0.6,61.5,56.0,5.51,5.39,3.35,1830,2,1,2
10477,1.0,67.6,59.0,6.03,5.95,4.05,4665,0,4,2
10478,0.33,61.7,55.0,4.44,4.48,2.75,838,2,3,6
10479,0.3,62.5,55.0,4.3,4.31,2.69,710,2,0,5
10480,0.79,61.6,55.0,5.96,5.98,3.68,2944,2,3,2
10481,0.4,63.3,58.0,4.69,4.72,2.98,687,1,2,2
10482,0.9,62.9,59.0,6.06,6.15,3.84,3706,4,0,3
10483,0.32,61.3,58.0,4.36,4.39,2.68,677,3,1,4
10484,0.31,62.6,57.0,4.29,4.33,2.7,625,2,2,5
10485,2.01,62.5,61.0,7.97,8.03,5.0,15675,4,5,5
10486,1.18,62.3,59.0,6.75,6.67,4.18,6542,3,2,2
10487,0.37,61.4,56.0,4.63,4.65,2.85,671,2,3,5
10488,0.7,58.0,60.0,5.91,5.88,3.42,2268,3,3,3
10489,0.6,62.5,53.7,5.35,5.43,3.38,3082,2,1,6
10490,1.01,62.5,59.0,6.34,6.4,3.98,10453,4,0,7
10491,1.51,62.8,59.0,7.17,7.26,4.53,8214,4,5,2
10492,1.09,62.2,59.0,6.46,6.49,4.03,4598,4,0,3
10493,1.2,61.1,58.0,6.84,6.88,4.19,8039,2,4,4
10494,1.06,61.2,55.0,6.61,6.57,4.03,5373,2,4,5
10495,1.01,59.8,58.0,6.57,6.53,3.92,3394,3,1,0
10496,0.36,62.5,58.0,4.55,4.51,2.83,756,3,3,5
10497,0.58,61.8,56.0,5.37,5.41,3.33,2263,2,2,7
10498,0.33,62.0,59.0,4.4,4.44,2.74,521,4,4,5
10499,0.31,62.7,59.0,4.35,4.3,2.71,593,3,0,3
10500,1.01,64.3,58.0,6.34,6.28,4.06,7769,1,1,7
10501,0.55,62.0,56.0,5.27,5.31,3.28,1221,2,1,3
10502,1.23,62.4,56.0,6.81,6.87,4.27,6289,2,0,3
10503,0.31,62.7,57.0,4.31,4.34,2.71,707,2,3,7
10504,0.56,61.3,56.0,5.3,5.33,3.26,1243,2,0,3
10505,0.4,62.7,59.0,4.67,4.71,2.94,702,4,3,2
10506,1.01,62.8,59.0,6.43,6.34,4.01,4605,3,3,2
10507,0.75,61.3,55.0,5.85,5.89,3.59,3525,2,3,7
10508,1.11,59.0,59.0,6.79,6.76,4.0,6713,3,3,5
10509,0.49,59.4,60.0,5.17,5.14,3.06,1084,3,3,3
10510,0.42,60.2,59.0,4.82,4.84,2.91,1179,3,3,6
10511,0.53,59.9,57.0,5.25,5.3,3.16,1132,2,3,3
10512,2.01,61.6,58.0,8.12,8.02,4.97,16499,3,4,3
10513,0.36,63.7,54.0,4.52,4.55,2.89,505,1,1,3
10514,0.91,61.9,61.0,6.1,6.12,3.78,4211,4,1,2
10515,0.32,61.8,55.0,4.42,4.41,2.73,720,2,4,4
10516,0.41,61.6,56.0,4.79,4.82,2.96,1439,2,2,1
10517,1.03,61.6,55.0,6.46,6.49,3.99,4683,2,2,3
10518,1.3,62.0,55.0,7.02,6.98,4.34,10221,2,3,4
10519,0.72,62.0,57.0,5.77,5.72,3.56,2607,2,2,5
10520,0.9,61.6,56.0,6.17,6.13,3.79,4592,2,4,4
10521,0.3,60.0,60.0,4.4,4.3,2.61,576,3,4,4
10522,0.33,60.6,56.0,4.47,4.51,2.72,939,2,2,6
10523,1.01,61.9,59.0,6.45,6.41,3.98,7964,3,3,7
10524,0.56,61.7,56.0,5.26,5.3,3.26,2321,4,2,6
10525,0.4,60.6,56.0,4.77,4.8,2.9,1031,2,1,6
10526,1.01,62.9,58.0,6.33,6.38,4.0,5731,4,0,2
10527,1.0,63.5,59.0,6.33,6.23,3.99,5967,4,3,5
10528,0.27,61.9,54.0,4.14,4.19,2.58,432,2,5,4
10529,0.44,61.9,54.0,4.91,4.95,3.05,732,2,5,5
10530,1.01,60.4,58.0,6.51,6.47,3.92,6787,3,1,5
10531,1.7,59.0,58.0,7.8,7.85,4.62,15797,3,3,5
10532,0.51,61.0,60.0,5.17,5.12,3.14,1781,3,1,5
10533,0.38,60.7,55.0,4.71,4.74,2.87,1219,2,4,6
10534,0.31,63.5,55.0,4.3,4.33,2.74,363,1,6,2
10535,1.01,65.3,57.0,6.33,6.23,4.1,4256,0,4,2
10536,0.89,61.8,56.0,6.15,6.19,3.81,3872,2,1,3
10537,0.26,62.5,56.0,4.07,4.09,2.55,486,4,4,7
10538,1.0,62.2,51.0,6.47,6.4,4.0,3511,3,4,2
10539,0.48,61.3,60.0,5.01,4.97,3.06,1279,3,2,5
10540,0.35,61.7,56.0,4.54,4.57,2.81,887,2,3,6
10541,1.02,62.6,57.0,6.42,6.46,4.03,4341,4,4,3
10542,2.31,62.1,58.0,8.49,8.42,5.25,16100,3,6,6
10543,0.34,61.3,57.0,4.47,4.5,2.75,805,2,0,5
10544,0.7,61.2,54.0,5.92,5.64,3.54,2940,2,2,4
10545,0.7,61.6,56.0,5.65,5.71,3.5,1843,2,6,5
10546,0.9,59.1,59.0,6.28,6.24,3.7,3385,3,5,5
10547,0.31,61.6,55.0,4.37,4.39,2.7,627,2,3,2
10548,0.39,59.1,59.0,4.76,4.81,2.83,670,4,1,2
10549,0.34,63.4,55.0,4.46,4.44,2.82,714,4,1,2
10550,2.03,60.4,59.0,8.15,8.12,4.91,9435,3,6,3
10551,2.09,63.1,60.0,8.04,8.12,5.1,13500,4,5,3
10552,0.36,61.8,55.0,4.58,4.61,2.84,725,2,3,2
10553,0.71,63.4,55.0,5.61,5.69,3.58,2816,1,0,4
10554,0.4,60.4,61.0,4.74,4.77,2.87,982,4,2,4
10555,0.87,61.7,57.0,6.14,6.09,3.77,3118,2,4,5
10556,0.9,61.8,63.0,6.21,6.18,3.83,4241,1,2,2
10557,0.9,63.6,59.0,6.04,6.1,3.86,4093,1,3,5
10558,2.01,62.8,59.0,8.03,7.97,5.02,15651,3,4,5
10559,0.92,61.9,55.0,6.24,6.27,3.87,5051,2,0,3
10560,0.36,61.8,54.0,4.6,4.62,2.85,928,2,1,7
10561,1.25,61.3,55.0,6.96,6.93,4.26,8099,3,4,4
10562,0.53,60.6,55.0,5.26,5.23,3.18,1753,3,2,5
10563,0.34,63.4,57.0,4.42,4.45,2.81,507,1,3,2
10564,2.01,59.5,58.0,8.18,8.21,4.88,13669,4,5,3
10565,1.17,62.5,59.0,6.65,6.7,4.17,5163,4,1,3
10566,0.71,62.1,54.0,5.68,5.72,3.54,2780,2,2,5
10567,1.57,61.8,55.0,7.43,7.49,4.61,11596,2,3,2
10568,0.4,60.9,60.0,4.78,4.74,2.9,884,3,0,2
10569,0.55,61.7,59.0,5.3,5.23,3.25,1728,3,0,2
10570,0.32,62.0,57.0,4.42,4.38,2.73,756,2,0,2
10571,0.45,67.0,56.0,4.77,4.7,3.17,923,0,2,5
10572,0.73,62.7,58.0,5.72,5.77,3.6,2939,2,2,5
10573,1.01,61.8,59.0,6.28,6.35,3.9,6912,1,0,5
10574,1.86,62.3,57.0,7.85,7.82,4.88,11520,3,4,3
10575,1.23,61.2,57.0,6.93,6.88,4.23,6015,2,6,5
10576,2.54,61.3,58.0,8.8,8.7,5.36,14717,3,4,3
10577,0.32,60.7,59.0,4.4,4.43,2.68,561,3,5,7
10578,1.28,61.5,55.0,6.98,7.01,4.3,12061,2,2,4
10579,1.12,59.1,61.0,6.78,6.75,4.0,2854,3,4,0
10580,0.41,62.0,56.0,4.78,4.74,2.95,1061,3,4,4
10581,1.51,63.4,60.0,7.31,7.18,4.59,6976,0,6,2
10582,1.5,63.3,58.0,7.27,7.24,4.59,10090,4,5,7
10583,0.92,62.8,58.0,6.11,6.22,3.87,7150,4,0,7
10584,1.86,58.6,62.0,8.07,8.14,4.75,17267,4,4,7
10585,1.02,62.5,57.0,6.35,6.41,3.99,4948,4,2,2
10586,0.35,61.9,54.0,4.54,4.5,2.8,906,2,2,5
10587,1.01,63.7,60.0,6.35,6.3,4.03,4836,1,4,2
10588,0.55,63.2,56.0,5.21,5.24,3.3,1272,1,0,3
10589,1.2,62.9,55.0,6.75,6.8,4.26,8454,4,2,5
10590,0.3,61.0,55.0,4.36,4.33,2.65,911,2,0,5
10591,0.71,61.5,57.0,5.78,5.74,3.54,2329,2,1,2
10592,0.24,62.9,59.0,3.95,3.97,2.49,393,4,2,4
10593,0.94,62.3,58.0,6.34,6.28,3.93,5980,3,0,4
10594,0.32,60.2,58.0,4.47,4.43,2.68,720,3,4,4
10595,0.32,61.9,59.0,4.38,4.35,2.7,504,3,6,5
10596,2.01,61.4,57.0,8.13,8.19,5.01,16562,2,5,2
10597,0.42,61.3,57.0,4.78,4.81,2.94,921,2,3,4
10598,1.57,62.3,57.0,7.45,7.39,4.62,7737,2,6,2
10599,0.71,60.3,59.0,5.79,5.76,3.48,2443,3,3,5
10600,0.57,61.8,55.0,5.31,5.37,3.3,1982,2,0,4
10601,0.41,63.8,57.0,4.7,4.67,2.99,784,1,5,2
10602,0.41,61.9,56.0,4.78,4.81,2.97,1439,2,2,1
10603,1.27,61.0,59.0,6.96,6.98,4.25,9547,2,2,5
10604,0.42,62.1,59.0,4.78,4.82,2.98,700,3,0,3
10605,1.21,61.0,57.0,6.88,6.85,4.19,10335,2,0,4
10606,2.0,66.3,54.0,7.98,7.88,5.26,12907,0,5,4
10607,0.5,63.7,59.0,5.07,5.01,3.21,1155,1,1,2
10608,0.31,62.3,54.0,4.33,4.37,2.71,571,2,0,2
10609,0.38,61.6,57.0,4.61,4.65,2.85,633,4,1,3
10610,0.9,62.6,62.0,6.11,6.15,3.84,4739,1,0,5
10611,0.51,62.5,57.0,5.06,5.09,3.17,1438,4,1,2
10612,0.83,62.7,58.0,5.97,6.03,3.76,3195,4,3,5
10613,1.52,60.9,59.0,7.43,7.49,4.54,9642,4,4,2
10614,0.33,62.4,60.0,4.39,4.42,2.75,666,4,4,7
10615,0.38,62.5,59.0,4.61,4.64,2.89,1409,4,1,1
10616,0.52,61.9,59.0,5.11,5.14,3.17,1550,4,2,5
10617,1.5,65.3,57.0,7.15,7.09,4.65,7056,0,2,3
10618,1.3,60.5,60.0,7.05,7.01,4.25,11162,3,3,6
10619,0.42,59.8,58.0,4.85,4.88,2.91,1179,3,3,6
10620,2.02,62.1,61.0,8.06,7.99,4.98,17265,3,4,2
10621,0.41,62.2,54.0,4.78,4.8,2.98,690,2,2,2
10622,2.16,61.4,58.0,8.29,8.31,5.1,14715,4,6,2
10623,1.01,64.2,59.0,6.31,6.28,4.04,4004,0,3,2
10624,0.26,61.9,55.0,4.07,4.11,2.53,337,4,4,2
10625,0.57,61.5,57.0,5.36,5.31,3.28,2360,2,2,7
10626,1.29,61.1,59.0,7.03,6.95,4.27,6116,3,3,3
10627,0.71,61.3,61.0,5.68,5.73,3.5,2860,4,2,5
10628,0.54,62.3,55.0,5.22,5.27,3.27,1586,2,5,2
10629,0.3,62.7,60.0,4.24,4.28,2.67,526,4,1,2
10630,0.7,63.2,55.0,5.63,5.57,3.54,1968,4,6,7
10631,0.3,60.6,58.0,4.35,4.36,2.64,684,4,3,7
10632,0.77,65.1,57.0,5.65,5.77,3.72,2184,0,5,4
10633,1.7,61.2,59.0,7.55,7.62,4.64,11257,3,5,5
10634,0.71,63.1,56.0,5.73,5.68,3.6,2743,4,0,2
10635,0.43,62.8,58.0,4.85,4.83,3.04,839,3,4,3
10636,0.5,62.5,59.0,5.01,5.04,3.14,1429,4,4,4
10637,0.57,60.7,56.0,5.4,5.37,3.27,1313,2,3,5
10638,0.77,61.1,59.0,5.85,5.95,3.59,2278,4,2,3
10639,0.79,59.4,60.0,6.08,6.05,3.6,3230,3,1,5
10640,1.09,59.7,63.0,6.74,6.65,4.0,6570,4,3,4
10641,0.5,63.3,54.0,5.04,5.07,3.2,1635,1,0,5
10642,0.32,61.2,56.0,4.43,4.46,2.72,430,2,4,2
10643,0.52,61.6,55.0,5.15,5.2,3.19,1822,2,0,5
10644,0.5,62.8,57.0,5.05,5.07,3.18,1764,4,3,7
10645,0.7,61.6,57.0,5.71,5.76,3.53,2846,2,1,2
10646,0.41,60.9,56.0,4.83,4.79,2.93,1356,2,2,6
10647,0.71,63.8,58.0,5.62,5.66,3.6,2804,4,1,5
10648,0.31,61.2,58.0,4.34,4.38,2.67,507,4,1,2
10649,0.34,60.9,55.0,4.52,4.54,2.75,652,2,4,7
10650,0.26,60.6,56.0,4.12,4.16,2.51,657,4,2,6
10651,0.32,62.7,57.0,4.44,4.4,2.77,972,2,0,5
10652,0.9,60.5,60.0,6.2,6.24,3.76,4296,4,3,5
10653,0.51,61.9,55.0,5.15,5.19,3.2,1875,2,3,7
10654,1.26,61.8,57.0,6.93,6.95,4.29,6362,2,3,3
10655,2.59,61.7,56.0,8.83,8.77,5.43,16465,2,6,4
10656,0.34,61.3,58.0,4.51,4.53,2.77,596,3,3,5
10657,0.24,60.8,56.0,4.02,4.04,2.45,362,4,1,5
10658,0.37,61.6,59.0,4.67,4.62,2.86,791,3,2,2
10659,0.24,62.0,56.0,4.0,4.01,2.48,432,2,5,4
